"game_number","ice_type","arena","date","time","week","home_sponsor_name","away_sponsor_name","comment"
1,"GAME","KRC Arena","Wed Sep 9 2020","9:00 PM","Week 1","Urban Stone Surfaces","Young Drivers","lock"
2,"GAME","KRC Arena","Wed Sep 9 2020","10:00 PM","Week 1","Kanata Renovations","Trane Canada","lock"
3,"GAME","KRC Rink","Fri Sep 11 2020","9:30 PM","Week 1","Big Rig Brewery","Eagleson Flooring","lock"
4,"GAME","KRC Rink","Fri Sep 11 2020","10:30 PM","Week 1","Urban Stone Surfaces","Trane Canada","lock"
5,"GAME","KRC Arena","Wed Sep 16 2020","9:00 PM","Week 2","Kanata Renovations","Big Rig Brewery","lock"
6,"GAME","KRC Arena","Wed Sep 16 2020","10:00 PM","Week 2","Young Drivers","Eagleson Flooring","lock"
7,"GAME","KRC Rink","Fri Sep 18 2020","9:30 PM","Week 2","Young Drivers","Trane Canada","lock"
8,"GAME","KRC Rink","Fri Sep 18 2020","10:30 PM","Week 2","Big Rig Brewery","Urban Stone Surfaces","lock"
9,"GAME","KRC Rink","Fri Sep 18 2020","11:30 PM","Week 2","Eagleson Flooring","Kanata Renovations","lock"
10,"GAME","KRC Arena","Wed Sep 23 2020","9:00 PM","Week 3","Big Rig Brewery","Trane Canada","lock"
11,"GAME","KRC Arena","Wed Sep 23 2020","10:00 PM","Week 3","Urban Stone Surfaces","Eagleson Flooring","lock"
12,"GAME","KRC Rink","Fri Sep 25 2020","9:30 PM","Week 3","Young Drivers","Kanata Renovations","lock"
13,"GAME","KRC Rink","Fri Sep 25 2020","10:30 PM","Week 3","Eagleson Flooring","Trane Canada","lock"
14,"GAME","KRC Arena","Wed Sep 30 2020","9:00 PM","Week 4","Young Drivers","Big Rig Brewery","lock"
15,"GAME","KRC Arena","Wed Sep 30 2020","10:00 PM","Week 4","Kanata Renovations","Urban Stone Surfaces","lock"
,,,,,,,,
16,"GAME","KRC Rink","Fri Oct 2 2020","9:30 PM","Week 4","Trane Canada","Kanata Renovations","locked"
17,"GAME","KRC Rink","Fri Oct 2 2020","10:30 PM","Week 4","Eagleson Flooring","Big Rig Brewery","locked"
18,"GAME","KRC Rink","Fri Oct 2 2020","11:30 PM","Week 4","Young Drivers","Urban Stone Surfaces","locked"
19,"GAME","KRC Arena","Wed Oct 7 2020","9:00 PM","Week 5","Big Rig Brewery","Kanata Renovations","locked"
20,"GAME","KRC Arena","Wed Oct 7 2020","10:00 PM","Week 5","Trane Canada","Urban Stone Surfaces","locked"
21,"GAME","KRC Rink","Fri Oct 9 2020","9:30 PM","Week 5","Eagleson Flooring","Young Drivers","locked"
22,"GAME","KRC Rink","Fri Oct 9 2020","10:30 PM","Week 5","Urban Stone Surfaces","Big Rig Brewery","locked"
23,"GAME","KRC Arena","Wed Oct 14 2020","9:00 PM","Week 6","Trane Canada","Young Drivers","locked"
24,"GAME","KRC Arena","Wed Oct 14 2020","10:00 PM","Week 6","Kanata Renovations","Eagleson Flooring","locked"
25,"GAME","KRC Rink","Fri Oct 16 2020","9:30 PM","Week 6","Big Rig Brewery","Trane Canada","locked"
26,"GAME","KRC Rink","Fri Oct 16 2020","10:30 PM","Week 6","Urban Stone Surfaces","Eagleson Flooring","locked"
27,"GAME","KRC Arena","Wed Oct 21 2020","9:00 PM","Week 7","Young Drivers","Kanata Renovations","locked"
28,"GAME","KRC Arena","Wed Oct 21 2020","10:00 PM","Week 7","Eagleson Flooring","Trane Canada","locked"
29,"GAME","KRC Rink","Fri Oct 23 2020","9:30 PM","Week 7","Young Drivers","Big Rig Brewery","locked"
30,"GAME","KRC Rink","Fri Oct 23 2020","10:30 PM","Week 7","Kanata Renovations","Urban Stone Surfaces","locked"
,,,,,,,,
31,"GAME","KRC Arena","Wed Oct 28 2020","9:00 PM","Week 8","Urban Stone Surfaces","Young Drivers","beevis"
32,"GAME","KRC Arena","Wed Oct 28 2020","10:00 PM","Week 8","Big Rig Brewery","Eagleson Flooring","beevis"
33,"GAME","KRC Rink","Fri Oct 30 2020","9:30 PM","Week 8","Young Drivers","Big Rig Brewery","beevis"
34,"GAME","KRC Rink","Fri Oct 30 2020","10:30 PM","Week 8","Urban Stone Surfaces","Eagleson Flooring","beevis"
35,"GAME","KRC Rink","Fri Oct 30 2020","11:30 PM","Week 8","Kanata Renovations","Trane Canada","beevis"
36,"GAME","KRC Arena","Wed Nov 4 2020","9:00 PM","Week 9","Urban Stone Surfaces","Trane Canada","beevis"
37,"GAME","KRC Arena","Wed Nov 4 2020","10:00 PM","Week 9","Kanata Renovations","Big Rig Brewery","beevis"
38,"GAME","KRC Rink","Fri Nov 6 2020","9:30 PM","Week 9","Eagleson Flooring","Trane Canada","beevis"
39,"GAME","KRC Rink","Fri Nov 6 2020","10:30 PM","Week 9","Young Drivers","Kanata Renovations","beevis"
40,"GAME","KRC Rink","Fri Nov 6 2020","11:30 PM","Week 9","Big Rig Brewery","Urban Stone Surfaces","beevis"
41,"GAME","KRC Arena","Wed Nov 11 2020","9:00 PM","Week 10","Eagleson Flooring","Kanata Renovations","beevis"
42,"GAME","KRC Arena","Wed Nov 11 2020","10:00 PM","Week 10","Young Drivers","Trane Canada","beevis"
43,"GAME","KRC Rink","Fri Nov 13 2020","9:30 PM","Week 10","Kanata Renovations","Urban Stone Surfaces","beevis"
44,"GAME","KRC Rink","Fri Nov 13 2020","10:30 PM","Week 10","Big Rig Brewery","Trane Canada","beevis"
45,"GAME","KRC Rink","Fri Nov 13 2020","11:30 PM","Week 10","Young Drivers","Eagleson Flooring","beevis"
,,,,,,,,
46,"GAME","KRC Arena","Wed Nov 18 2020","9:00 PM","Week 11","Eagleson Flooring","Big Rig Brewery","lock"
47,"GAME","KRC Arena","Wed Nov 18 2020","10:00 PM","Week 11","Young Drivers","Urban Stone Surfaces","lock"
48,"GAME","KRC Rink","Fri Nov 20 2020","9:30 PM","Week 11","Trane Canada","Kanata Renovations","lock"
49,"GAME","KRC Rink","Fri Nov 20 2020","10:30 PM","Week 11","Eagleson Flooring","Young Drivers","lock"
50,"GAME","KRC Arena","Wed Nov 25 2020","9:00 PM","Week 12","Trane Canada","Urban Stone Surfaces","lock"
51,"GAME","KRC Arena","Wed Nov 25 2020","10:00 PM","Week 12","Big Rig Brewery","Kanata Renovations","lock"
52,"GAME","KRC Rink","Fri Nov 27 2020","9:30 PM","Week 12","Urban Stone Surfaces","Big Rig Brewery","lock"
53,"GAME","KRC Rink","Fri Nov 27 2020","10:30 PM","Week 12","Kanata Renovations","Eagleson Flooring","lock"
54,"GAME","KRC Rink","Fri Nov 27 2020","11:30 PM","Week 12","Trane Canada","Young Drivers","lock"
55,"GAME","KRC Arena","Wed Dec 2 2020","9:00 PM","Week 13","Kanata Renovations","Young Drivers","lock"
56,"GAME","KRC Arena","Wed Dec 2 2020","10:00 PM","Week 13","Trane Canada","Big Rig Brewery","lock"
57,"GAME","KRC Rink","Fri Dec 4 2020","9:30 PM","Week 13","Eagleson Flooring","Urban Stone Surfaces","lock"
58,"GAME","KRC Rink","Fri Dec 4 2020","10:30 PM","Week 13","Big Rig Brewery","Young Drivers","lock"
59,"GAME","KRC Arena","Wed Dec 9 2020","9:00 PM","Week 14","Urban Stone Surfaces","Kanata Renovations","lock"
60,"GAME","KRC Arena","Wed Dec 9 2020","10:00 PM","Week 14","Trane Canada","Eagleson Flooring","lock"
,,,,,,,,
61,"GAME","KRC Rink","Fri Dec 11 2020","9:30 PM","Week 14","Urban Stone Surfaces","Young Drivers","locked"
62,"GAME","KRC Rink","Fri Dec 11 2020","10:30 PM","Week 14","Kanata Renovations","Trane Canada","locked"
63,"GAME","KRC Rink","Fri Dec 11 2020","11:30 PM","Week 14","Big Rig Brewery","Eagleson Flooring","locked"
64,"GAME","KRC Arena","Wed Dec 16 2020","9:00 PM","Week 15","Young Drivers","Eagleson Flooring","locked"
65,"GAME","KRC Arena","Wed Dec 16 2020","10:00 PM","Week 15","Kanata Renovations","Big Rig Brewery","locked"
66,"GAME","KRC Rink","Fri Dec 18 2020","9:30 PM","Week 15","Urban Stone Surfaces","Trane Canada","locked"
67,"GAME","KRC Rink","Fri Dec 18 2020","10:30 PM","Week 15","Eagleson Flooring","Kanata Renovations","locked"
68,"GAME","KRC Arena","Wed Jan 6 2021","9:00 PM","Week 16","Big Rig Brewery","Urban Stone Surfaces","locked"
69,"GAME","KRC Arena","Wed Jan 6 2021","10:00 PM","Week 16","Young Drivers","Trane Canada","locked"
70,"GAME","KRC Rink","Fri Jan 8 2021","9:30 PM","Week 16","Eagleson Flooring","Urban Stone Surfaces","locked"
71,"GAME","KRC Rink","Fri Jan 8 2021","10:30 PM","Week 16","Kanata Renovations","Young Drivers","locked"
72,"GAME","KRC Arena","Wed Jan 13 2021","9:00 PM","Week 17","Trane Canada","Big Rig Brewery","locked"
73,"GAME","KRC Arena","Wed Jan 13 2021","10:00 PM","Week 17","Urban Stone Surfaces","Kanata Renovations","locked"
74,"GAME","KRC Rink","Fri Jan 15 2021","9:30 PM","Week 17","Eagleson Flooring","Trane Canada","locked"
75,"GAME","KRC Rink","Fri Jan 15 2021","10:30 PM","Week 17","Big Rig Brewery","Young Drivers","locked"
,,,,,,,,
76,"GAME","KRC Arena","Wed Jan 20 2021","9:00 PM","Week 18","Trane Canada","Kanata Renovations","lock"
