game_number,ice_type,arena,date,time,week,home_sponsor_name,away_sponsor_name,comment
1,GAME,KRC Arena,Wed Sep 6 2023,9:00 PM,Week 1,Young Drivers,Trane Canada,2
2,GAME,KRC Arena,Wed Sep 6 2023,10:00 PM,Week 1,Big Rig Brewery,Eagleson Flooring,3
3,GAME,KRC Rink,Fri Sep 8 2023,9:15 PM,Week 1,Urban Stone Surfaces,Kanata Renovations,1
4,GAME,KRC Rink,Fri Sep 8 2023,10:15 PM,Week 1,Eagleson Flooring,Trane Canada,Purple
5,GAME,KRC Arena,Wed Sep 13 2023,9:00 PM,Week 2,Eagleson Flooring,Young Drivers,2
6,GAME,KRC Arena,Wed Sep 13 2023,10:00 PM,Week 2,Big Rig Brewery,Urban Stone Surfaces,3
7,GAME,KRC Rink,Fri Sep 15 2023,9:15 PM,Week 2,Kanata Renovations,Trane Canada,1
8,GAME,KRC Rink,Fri Sep 15 2023,10:15 PM,Week 2,Young Drivers,Urban Stone Surfaces,Purple
9,GAME,KRC Arena,Wed Sep 20 2023,9:00 PM,Week 3,Kanata Renovations,Young Drivers,2
10,GAME,KRC Arena,Wed Sep 20 2023,10:00 PM,Week 3,Big Rig Brewery,Trane Canada,3
11,GAME,KRC Rink,Fri Sep 22 2023,9:15 PM,Week 3,Urban Stone Surfaces,Eagleson Flooring,1
12,GAME,KRC Rink,Fri Sep 22 2023,10:15 PM,Week 3,Kanata Renovations,Big Rig Brewery,Purple
13,GAME,KRC Arena,Wed Sep 27 2023,9:00 PM,Week 4,Young Drivers,Big Rig Brewery,1
14,GAME,KRC Arena,Wed Sep 27 2023,10:00 PM,Week 4,Kanata Renovations,Eagleson Flooring,2
15,GAME,KRC Rink,Fri Sep 29 2023,9:15 PM,Week 4,Urban Stone Surfaces,Trane Canada,3
,,,,,,,,
16,GAME,KRC Rink,Fri Sep 29 2023,10:15 PM,Week 4,Big Rig Brewery,Eagleson Flooring,Red
17,GAME,KRC Arena,Wed Oct 4 2023,9:00 PM,Week 5,Young Drivers,Urban Stone Surfaces,1
18,GAME,KRC Arena,Wed Oct 4 2023,10:00 PM,Week 5,Eagleson Flooring,Trane Canada,2
19,GAME,KRC Rink,Fri Oct 6 2023,9:15 PM,Week 5,Kanata Renovations,Big Rig Brewery,3
20,GAME,KRC Rink,Fri Oct 6 2023,10:15 PM,Week 5,Young Drivers,Trane Canada,Red
21,GAME,KRC Arena,Wed Oct 11 2023,9:00 PM,Week 6,Big Rig Brewery,Urban Stone Surfaces,3
22,GAME,KRC Arena,Wed Oct 11 2023,10:00 PM,Week 6,Kanata Renovations,Trane Canada,1
23,GAME,KRC Rink,Fri Oct 13 2023,9:15 PM,Week 6,Eagleson Flooring,Young Drivers,2
24,GAME,KRC Rink,Fri Oct 13 2023,10:15 PM,Week 6,Urban Stone Surfaces,Kanata Renovations,Red
25,GAME,KRC Arena,Wed Oct 18 2023,9:00 PM,Week 7,Big Rig Brewery,Trane Canada,3
26,GAME,KRC Arena,Wed Oct 18 2023,10:00 PM,Week 7,Urban Stone Surfaces,Eagleson Flooring,1
27,GAME,KRC Rink,Fri Oct 20 2023,9:15 PM,Week 7,Kanata Renovations,Young Drivers,2
28,GAME,KRC Rink,Fri Oct 20 2023,10:15 PM,Week 7,Urban Stone Surfaces,Trane Canada,Yellow
29,GAME,KRC Arena,Wed Oct 25 2023,9:00 PM,Week 8,Kanata Renovations,Big Rig Brewery,3
30,GAME,KRC Arena,Wed Oct 25 2023,10:00 PM,Week 8,Young Drivers,Urban Stone Surfaces,1
,,,,,,,,2
31,GAME,KRC Rink,Fri Oct 27 2023,9:15 PM,Week 8,Eagleson Flooring,Trane Canada,
32,GAME,KRC Rink,Fri Oct 27 2023,10:15 PM,Week 8,Young Drivers,Big Rig Brewery,Yellow
33,GAME,KRC Arena,Wed Nov 1 2023,9:00 PM,Week 9,Big Rig Brewery,Eagleson Flooring,3
34,GAME,KRC Arena,Wed Nov 1 2023,10:00 PM,Week 9,Urban Stone Surfaces,Kanata Renovations,1
35,GAME,KRC Rink,Fri Nov 3 2023,9:15 PM,Week 9,Young Drivers,Trane Canada,2
36,GAME,KRC Rink,Fri Nov 3 2023,10:15 PM,Week 9,Kanata Renovations,Eagleson Flooring,Yellow
37,GAME,KRC Arena,Wed Nov 8 2023,9:00 PM,Week 10,Kanata Renovations,Trane Canada,1
38,GAME,KRC Arena,Wed Nov 8 2023,10:00 PM,Week 10,Eagleson Flooring,Young Drivers,2
39,GAME,KRC Rink,Fri Nov 10 2023,9:15 PM,Week 10,Big Rig Brewery,Urban Stone Surfaces,3
40,GAME,KRC Rink,Fri Nov 10 2023,10:15 PM,Week 10,Kanata Renovations,Young Drivers,Blue
41,GAME,KRC Arena,Wed Nov 15 2023,9:00 PM,Week 11,Eagleson Flooring,Trane Canada,2
42,GAME,KRC Arena,Wed Nov 15 2023,10:00 PM,Week 11,Kanata Renovations,Big Rig Brewery,3
43,GAME,KRC Rink,Fri Nov 17 2023,9:15 PM,Week 11,Young Drivers,Urban Stone Surfaces,1
44,GAME,KRC Rink,Fri Nov 17 2023,10:15 PM,Week 11,Big Rig Brewery,Trane Canada,Blue
45,GAME,KRC Arena,Wed Nov 22 2023,9:00 PM,Week 12,Kanata Renovations,Eagleson Flooring,2
,,,,,,,,
46,GAME,KRC Arena,Wed Nov 22 2023,10:00 PM,Week 12,Urban Stone Surfaces,Trane Canada,3
47,GAME,KRC Rink,Fri Nov 24 2023,9:15 PM,Week 12,Young Drivers,Big Rig Brewery,1
48,GAME,KRC Rink,Fri Nov 24 2023,10:15 PM,Week 12,Urban Stone Surfaces,Eagleson Flooring,Blue
49,GAME,KRC Arena,Wed Nov 29 2023,9:00 PM,Week 13,Urban Stone Surfaces,Kanata Renovations,1
50,GAME,KRC Arena,Wed Nov 29 2023,10:00 PM,Week 13,Young Drivers,Trane Canada,2
51,GAME,KRC Rink,Fri Dec 1 2023,9:15 PM,Week 13,Big Rig Brewery,Eagleson Flooring,3
52,GAME,KRC Rink,Fri Dec 1 2023,10:15 PM,Week 13,Kanata Renovations,Trane Canada,Green
53,GAME,KRC Arena,Wed Dec 6 2023,9:00 PM,Week 14,Urban Stone Surfaces,Eagleson Flooring,1
54,GAME,KRC Arena,Wed Dec 6 2023,10:00 PM,Week 14,Kanata Renovations,Young Drivers,2
55,GAME,KRC Rink,Fri Dec 8 2023,9:15 PM,Week 14,Big Rig Brewery,Trane Canada,3
56,GAME,KRC Rink,Fri Dec 8 2023,10:15 PM,Week 14,Eagleson Flooring,Young Drivers,Green
57,GAME,KRC Arena,Wed Dec 13 2023,9:00 PM,Week 15,Urban Stone Surfaces,Trane Canada,3
58,GAME,KRC Arena,Wed Dec 13 2023,10:00 PM,Week 15,Young Drivers,Big Rig Brewery,1
