Game#,Type,Location,Date,Start,End,Division,Away,Home,Commant
1,GAME,KRC-A,Wed Sep 6,9:00PM,,,T5,T6,1C lock
2,GAME,KRC-A,Wed Sep 6,10:00PM,,,T1,T2,1A lock
3,GAME,KRC-B,Fri Sep 8,9:30PM,,,T3,T4,1B lock
4,GAME,KRC-B,Fri Sep 8,10:30PM,,,T5,T2,5C lock
5,GAME,KRC-A,Wed Sep 13,9:00PM,,,T1,T4,2A lock
6,GAME,KRC-A,Wed Sep 13,10:00PM,,,T5,T3,2B lock
7,GAME,KRC-B,Fri Sep 15,9:30PM,,,T6,T2,2C lock
8,GAME,KRC-B,Fri Sep 15,10:30PM,,,T3,T1,5A lock
9,GAME,KRC-A,Wed Sep 20,9:00PM,,,T1,T5,4A unlock
10,GAME,KRC-A,Wed Sep 20,10:00PM,,,T6,T4,5B unlock
11,GAME,KRC-B,Fri Sep 22,9:30PM,,,T2,T4,4B unlock
12,GAME,KRC-B,Fri Sep 22,10:30PM,,,T3,T6,4C unlock
13,GAME,KRC-A,Wed Sep 27,9:00PM,,,T1,T2,1A lock
14,GAME,KRC-A,Wed Sep 27,10:00PM,,,T4,T3,1B lock
15,GAME,KRC-B,Fri Sep 29,9:30PM,,,T6,T5,1C lock
16,GAME,KRC-B,Fri Sep 29,10:30PM,,,T1,T3,5A lock
17,GAME,KRC-A,Wed Oct 4,9:00PM,,,T5,T3,2B lock
18,GAME,KRC-A,Wed Oct 4,10:00PM,,,T6,T2,2C lock
19,GAME,KRC-B,Fri Oct 6,9:30PM,,,T1,T4,2A lock
20,GAME,KRC-B,Fri Oct 6,10:30PM,,,T5,T2,5C lock
21,GAME,KRC-A,Wed Oct 11,9:00PM,,,T6,T3,4C lock
22,GAME,KRC-A,Wed Oct 11,10:00PM,,,T4,T2,4B lock
23,GAME,KRC-B,Fri Oct 13,9:30PM,,,T1,T6,3A lock
24,GAME,KRC-B,Fri Oct 13,10:30PM,,,T4,T5,3B lock
25,GAME,KRC-B,Fri Oct 13,11:30PM,,,T2,T3,3C lock
26,GAME,KRC-A,Wed Oct 18,9:00PM,,,T2,T6,2C lock
27,GAME,KRC-A,Wed Oct 18,10:00PM,,,T3,T5,2B lock
28,GAME,KRC-B,Fri Oct 20,9:30PM,,,T4,T1,2A lock
29,GAME,KRC-B,Fri Oct 20,10:30PM,,,T5,T2,5C lock
30,GAME,KRC-A,Wed Oct 25,9:00PM,,,T3,T6,4C lock
31,GAME,KRC-A,Wed Oct 25,10:00PM,,,T5,T1,4A lock
32,GAME,KRC-B,Fri Oct 27,9:30PM,,,T4,T5,3B lock
33,GAME,KRC-B,Fri Oct 27,10:30PM,,,T2,T3,3C lock
34,GAME,KRC-B,Fri Oct 27,11:30PM,,,T1,T6,3A lock
35,GAME,KRC-A,Wed Nov 1,9:00PM,,,T4,T3,1B lock
36,GAME,KRC-A,Wed Nov 1,10:00PM,,,T2,T1,1A lock
37,GAME,KRC-B,Fri Nov 3,9:30PM,,,T6,T5,1C lock
38,GAME,KRC-B,Fri Nov 3,10:30PM,,,T3,T1,5A lock
39,GAME,KRC-A,Wed Nov 8,9:00PM,,,T2,T4,4B lock
40,GAME,KRC-A,Wed Nov 8,10:00PM,,,T1,T5,4A lock
41,GAME,KRC-B,Fri Nov 10,9:30PM,,,T3,T2,3C lock
42,GAME,KRC-B,Fri Nov 10,10:30PM,,,T1,T6,3A lock
43,GAME,KRC-B,Fri Nov 10,11:30PM,,,T5,T4,3B lock
44,GAME,KRC-A,Wed Nov 15,9:00PM,,,T4,T3,1B lock
45,GAME,KRC-A,Wed Nov 15,10:00PM,,,T6,T5,1C lock
46,GAME,KRC-B,Fri Nov 17,9:30PM,,,T2,T1,1A lock
47,GAME,KRC-B,Fri Nov 17,10:30PM,,,T4,T6,5B lock
48,GAME,KRC-A,Wed Nov 22,9:00PM,,,T2,T6,2C lock
49,GAME,KRC-A,Wed Nov 22,10:00PM,,,T4,T1,2A lock
50,GAME,KRC-B,Fri Nov 24,9:30PM,,,T3,T5,2B lock
51,GAME,KRC-B,Fri Nov 24,10:30PM,,,T6,T4,5B lock
52,GAME,KRC-A,Wed Nov 29,9:00PM,,,T5,T1,4A lock
53,GAME,KRC-A,Wed Nov 29,10:00PM,,,T4,T2,4B lock
54,GAME,KRC-B,Fri Dec 1,9:30PM,,,T1,T6,3A lock
55,GAME,KRC-B,Fri Dec 1,10:30PM,,,T5,T4,3B lock
56,GAME,KRC-B,Fri Dec 1,11:30PM,,,T3,T2,3C lock
57,GAME,KRC-A,Wed Dec 6,9:00PM,,,T2,T1,1A lock
58,GAME,KRC-A,Wed Dec 6,10:00PM,,,T6,T5,1C lock
59,GAME,KRC-B,Fri Dec 8,9:30PM,,,T4,T3,1B lock
60,GAME,KRC-B,Fri Dec 8,10:30PM,,,T5,T2,5C lock
61,GAME,KRC-A,Wed Dec 13,9:00PM,,,T3,T5,2B lock
62,GAME,KRC-A,Wed Dec 13,10:00PM,,,T1,T4,2A lock
63,GAME,KRC-B,Fri Dec 15,9:30PM,,,T6,T2,2C lock
64,GAME,KRC-B,Fri Dec 15,10:30PM,,,T3,T1,5A lock
65,GAME,KRC-A,Wed Dec 20,9:00PM,,,T4,T6,5B
66,GAME,KRC-A,Wed Dec 20,10:00PM,,,T2,T3,3C
67,GAME,KRC-B,Fri Dec 22,9:30PM,,,T6,T1,3A
68,GAME,KRC-B,Fri Dec 22,10:30PM,,,T4,T5,3A
69,GAME,KRC-B,Fri Jan 5,9:30PM,,,T2,T5,5C
70,GAME,KRC-B,Fri Jan 5,10:30PM,,,T6,T4,5B lock
71,GAME,KRC-B,Fri Jan 5,11:30PM,,,T1,T3,5A
72,GAME,KRC-A,Wed Jan 10,9:00PM,,,T6,T3,4C lock
73,GAME,KRC-A,Wed Jan 10,10:00PM,,,T5,T1,4A lock
74,GAME,KRC-B,Fri Jan 12,9:30PM,,,T4,T2,4B lock
75,GAME,KRC-B,Fri Jan 12,10:30PM,,,T3,T1,5A lock
76,GAME,KRC-A,Wed Jan 17,9:00PM,,,T5,T6,1C lock
77,GAME,KRC-A,Wed Jan 17,10:00PM,,,T3,T4,1B lock
78,GAME,KRC-B,Fri Jan 19,9:30PM,,,T1,T2,1A lock
